Churn,customer_tenure,customer_is_SeniorCitizen,customer_has_Dependents,customer_has_Partner,account_Charges_Total,account_Charges_Daily,account_Charges_Monthly,account_is_PaperlessBilling,account_Payment_electronic_check,account_Payment_credit_card_(automatic),account_Payment_bank_transfer_(automatic),account_Contract_month-to-month,account_Contract_one_year,account_Contract_two_year,internet_Service_fiber_optic,internet_Service_dsl,internet_Service_no,internet_has_OnlineSecurity,internet_has_TechSupport,num_servicos_contratados
0,9,0,1,1,593.3,2.1866666666666665,65.6,1,0,0,0,0,1,0,0,1,0,0,1,6
0,9,0,0,0,542.4,1.9966666666666666,59.9,0,0,0,0,1,0,0,0,1,0,0,0,4
1,4,0,0,0,280.85,2.4633333333333334,73.9,1,1,0,0,1,0,0,1,0,0,0,0,4
1,13,1,0,1,1237.85,3.2666666666666666,98.0,1,1,0,0,1,0,0,1,0,0,0,0,7
1,3,1,0,1,267.4,2.796666666666667,83.9,1,0,0,0,1,0,0,1,0,0,0,1,5
0,9,0,1,0,571.45,2.3133333333333335,69.4,1,0,1,0,1,0,0,0,1,0,0,1,6
0,71,1,0,1,7904.25,3.6566666666666667,109.7,1,0,0,1,0,0,1,1,0,0,1,1,9
0,63,0,0,1,5377.8,2.8216666666666668,84.65,1,0,1,0,0,0,1,1,0,0,1,1,6
0,7,1,0,0,340.35,1.6066666666666667,48.2,1,1,0,0,1,0,0,0,1,0,1,0,4
0,65,0,1,1,5957.9,3.015,90.45,1,0,0,0,0,0,1,0,1,0,1,1,10
0,54,0,0,0,2460.55,1.5066666666666668,45.2,0,0,1,0,0,0,1,0,1,0,1,1,4
0,72,0,1,1,8456.75,3.893333333333333,116.8,1,0,1,0,0,0,1,1,0,0,1,1,10
0,5,0,0,1,351.5,2.2983333333333333,68.95,1,1,0,0,1,0,0,1,0,0,0,0,3
0,72,0,0,0,7261.25,3.3766666666666665,101.3,1,0,0,1,0,0,1,1,0,0,1,0,8
0,56,0,0,0,2560.1,1.5016666666666665,45.05,0,0,0,1,0,0,1,0,1,0,1,1,5
0,71,0,1,1,6849.4,3.191666666666667,95.75,1,0,1,0,0,0,1,1,0,0,0,0,7
0,34,0,1,1,1993.2,2.0416666666666665,61.25,0,0,0,0,0,1,0,0,1,0,1,1,6
0,1,1,0,0,72.1,2.4033333333333333,72.1,1,1,0,0,1,0,0,1,0,0,0,0,4
1,45,1,0,0,2791.5,2.0900000000000003,62.7,0,0,1,0,0,1,0,0,1,0,1,0,5
1,1,1,0,0,25.1,0.8366666666666667,25.1,1,1,0,0,1,0,0,0,1,0,0,0,2
0,50,1,0,1,1306.3,0.84,25.2,0,1,0,0,0,1,0,0,0,1,0,0,2
1,13,0,0,1,1215.6,3.1366666666666663,94.1,0,1,0,0,1,0,0,1,0,0,0,0,6
0,23,0,1,1,1849.95,2.7916666666666665,83.75,1,1,0,0,1,0,0,1,0,0,0,0,5
0,3,0,0,0,57.2,0.6616666666666667,19.85,0,0,0,0,1,0,0,0,0,1,0,0,1
1,4,0,1,1,76.35,0.6783333333333333,20.35,0,0,0,0,1,0,0,0,0,1,0,0,1
1,1,0,1,1,30.5,1.0166666666666666,30.5,0,0,0,1,1,0,0,0,1,0,1,0,2
0,55,0,1,1,5656.75,3.4566666666666666,103.7,1,0,0,1,0,1,0,1,0,0,0,1,8
0,54,0,1,1,1090.6,0.6799999999999999,20.4,0,0,1,0,0,0,1,0,0,1,0,0,1
0,26,0,0,0,471.85,0.6533333333333334,19.6,1,0,0,1,0,1,0,0,0,1,0,0,2
