Churn,customer_gender_is_Male,customer_is_SeniorCitizen,customer_has_Partner,customer_has_Dependents,customer_tenure,phone_has_PhoneService,phone_has_MultipleLines,internet_has_StreamingMovies,internet_has_DeviceProtection,internet_has_OnlineBackup,internet_has_OnlineSecurity,internet_has_StreamingTV,internet_has_TechSupport,internet_Service_dsl,internet_Service_fiber_optic,internet_Service_no,account_is_PaperlessBilling,account_Charges_Monthly,account_Charges_Daily,account_Charges_Total,account_Payment_bank_transfer_(automatic),account_Payment_credit_card_(automatic),account_Payment_electronic_check,account_Payment_mailed_check,account_Contract_month-to-month,account_Contract_one_year,account_Contract_two_year
0,0,0,1,1,9,1,0,0,0,1,0,1,1,1,0,0,1,65.6,2.1866666666666665,593.3,0,0,0,1,0,1,0
0,1,0,0,0,9,1,1,1,0,0,0,0,0,1,0,0,0,59.9,1.9966666666666666,542.4,0,0,0,1,1,0,0
1,1,0,0,0,4,1,0,0,1,0,0,0,0,0,1,0,1,73.9,2.4633333333333334,280.85,0,0,1,0,1,0,0
1,1,1,1,0,13,1,0,1,1,1,0,1,0,0,1,0,1,98.0,3.2666666666666666,1237.85,0,0,1,0,1,0,0
1,0,1,1,0,3,1,0,0,0,0,0,1,1,0,1,0,1,83.9,2.796666666666667,267.4,0,0,0,1,1,0,0
0,0,0,0,1,9,1,0,1,0,0,0,1,1,1,0,0,1,69.4,2.3133333333333335,571.45,0,1,0,0,1,0,0
0,0,1,1,0,71,1,0,1,1,1,1,1,1,0,1,0,1,109.7,3.6566666666666667,7904.25,1,0,0,0,0,0,1
0,1,0,1,0,63,1,1,0,0,0,1,0,1,0,1,0,1,84.65,2.8216666666666668,5377.8,0,1,0,0,0,0,1
0,0,1,0,0,7,1,0,0,0,0,1,0,0,1,0,0,1,48.2,1.6066666666666667,340.35,0,0,1,0,1,0,0
0,0,0,1,1,65,1,1,1,1,1,1,1,1,1,0,0,1,90.45,3.015,5957.9,0,0,0,1,0,0,1
0,1,0,0,0,54,0,0,0,0,0,1,1,1,1,0,0,0,45.2,1.5066666666666668,2460.55,0,1,0,0,0,0,1
0,0,0,1,1,72,1,1,1,1,1,1,1,1,0,1,0,1,116.8,3.893333333333333,8456.75,0,1,0,0,0,0,1
0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,1,0,1,68.95,2.2983333333333333,351.5,0,0,1,0,1,0,0
0,0,0,0,0,72,1,1,0,1,1,1,1,0,0,1,0,1,101.3,3.3766666666666665,7261.25,1,0,0,0,0,0,1
0,0,0,0,0,56,0,0,0,1,1,1,0,1,1,0,0,0,45.05,1.5016666666666665,2560.1,1,0,0,0,0,0,1
0,0,0,1,1,71,1,1,1,1,1,0,0,0,0,1,0,1,95.75,3.191666666666667,6849.4,0,1,0,0,0,0,1
0,0,0,1,1,34,0,0,1,1,0,1,1,1,1,0,0,0,61.25,2.0416666666666665,1993.2,0,0,0,1,0,1,0
0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,72.1,2.4033333333333333,72.1,0,0,1,0,1,0,0
1,1,1,0,0,45,1,0,1,1,0,1,0,0,1,0,0,0,62.7,2.0900000000000003,2791.5,0,1,0,0,0,1,0
1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,25.1,0.8366666666666667,25.1,0,0,1,0,1,0,0
0,0,1,1,0,50,1,1,0,0,0,0,0,0,0,0,1,0,25.2,0.84,1306.3,0,0,1,0,0,1,0
1,0,0,1,0,13,1,1,0,1,1,0,1,0,0,1,0,0,94.1,3.1366666666666663,1215.6,0,0,1,0,1,0,0
0,0,0,1,1,23,1,1,0,0,0,0,1,0,0,1,0,1,83.75,2.7916666666666665,1849.95,0,0,1,0,1,0,0
0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,19.85,0.6616666666666667,57.2,0,0,0,1,1,0,0
1,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,1,0,20.35,0.6783333333333333,76.35,0,0,0,1,1,0,0
1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,30.5,1.0166666666666666,30.5,1,0,0,0,1,0,0
0,0,0,1,1,55,1,0,1,1,1,0,1,1,0,1,0,1,103.7,3.4566666666666666,5656.75,1,0,0,0,0,1,0
0,1,0,1,1,54,1,0,0,0,0,0,0,0,0,0,1,0,20.4,0.6799999999999999,1090.6,0,1,0,0,0,0,1
0,1,0,0,0,26,1,0,0,0,0,0,0,0,0,0,1,1,19.6,0.6533333333333334,471.85,1,0,0,0,0,1,0
0,0,0,1,1,69,1,0,0,0,0,0,0,0,0,0,1,0,19.7,0.6566666666666666,1396.9,1,0,0,0,0,0,1
0,1,0,1,1,37,1,0,1,0,0,0,1,0,0,1,0,0,91.2,3.04,3247.55,0,1,0,0,0,1,0
0,0,0,1,0,49,1,0,0,0,0,0,0,0,0,0,1,0,20.45,0.6816666666666666,900.9,1,0,0,0,0,1,0
0,1,0,1,0,66,1,1,1,1,1,1,1,1,0,1,0,0,115.8,3.86,7942.15,1,0,0,0,0,1,0
0,0,0,0,0,67,1,0,0,0,0,0,0,0,0,0,1,0,20.55,0.685,1343.4,0,0,1,0,0,1,0
0,1,0,1,1,20,0,0,0,1,0,1,0,1,1,0,0,1,39.4,1.3133333333333332,825.4,0,1,0,0,0,0,1
0,0,0,0,1,43,1,1,0,0,0,0,0,0,0,0,1,1,25.1,0.8366666666666667,1070.15,0,0,1,0,0,0,1
0,0,0,1,0,55,1,1,0,0,0,1,1,0,0,1,0,1,89.8,2.993333333333333,4959.6,1,0,0,0,1,0,0
0,0,0,1,0,59,1,1,0,0,1,1,1,0,0,1,0,1,94.75,3.158333333333333,5597.65,0,0,1,0,1,0,0
0,0,0,1,1,12,1,0,0,0,0,0,0,0,0,0,1,0,20.3,0.6766666666666666,224.5,1,0,0,0,0,0,1
0,1,0,1,1,27,1,1,0,0,0,0,0,0,0,1,0,1,75.75,2.525,1929.0,1,0,0,0,1,0,0
1,1,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0,1,49.25,1.6416666666666666,91.1,0,0,1,0,1,0,0
0,0,0,0,0,27,1,0,1,1,1,0,1,1,1,0,0,0,78.2,2.606666666666667,2078.95,0,0,0,1,0,1,0
0,1,0,1,1,25,1,1,0,0,0,0,0,0,0,0,1,0,25.5,0.85,630.6,0,1,0,0,0,0,1
0,1,0,1,1,25,1,0,0,1,1,1,0,0,1,0,0,1,61.6,2.0533333333333332,1611.0,1,0,0,0,0,1,0
0,1,0,0,1,29,0,0,0,1,1,1,0,1,1,0,0,1,45.0,1.5,1242.45,0,0,0,1,1,0,0
0,1,0,1,0,72,1,1,1,1,1,0,1,1,1,0,0,1,85.15,2.8383333333333334,6316.2,1,0,0,0,0,0,1
0,0,0,0,0,14,1,0,0,0,1,0,0,0,1,0,0,0,51.45,1.715,727.85,0,1,0,0,0,1,0
0,0,0,0,0,35,1,0,1,1,0,0,1,1,0,1,0,1,99.25,3.308333333333333,3532.0,0,0,1,0,0,1,0
0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,44.3,1.4766666666666666,44.3,0,0,0,1,1,0,0
0,1,0,0,0,29,1,0,1,0,0,0,1,1,0,1,0,1,94.2,3.14,2607.6,0,0,1,0,1,0,0
0,1,0,0,0,64,1,1,0,1,1,1,1,1,1,0,0,0,81.25,2.7083333333333335,5567.55,0,0,1,0,0,1,0
0,0,0,1,1,39,1,1,1,0,0,0,1,1,0,1,0,1,99.95,3.3316666666666666,3767.4,0,1,0,0,1,0,0
0,0,1,0,0,40,1,0,1,0,0,0,1,0,0,1,0,1,91.55,3.0516666666666667,3673.6,0,0,1,0,1,0,0
1,1,0,0,0,40,1,1,1,1,1,0,1,0,0,1,0,1,104.5,3.4833333333333334,4036.85,0,1,0,0,1,0,0
1,0,1,0,0,11,1,0,1,0,1,0,1,0,0,1,0,1,95.0,3.1666666666666665,1120.3,0,0,1,0,1,0,0
0,0,0,1,0,6,1,1,0,0,0,0,0,0,1,0,0,0,50.35,1.6783333333333335,314.55,0,0,1,0,1,0,0
0,1,0,0,0,30,1,1,1,0,0,1,0,0,1,0,0,1,64.5,2.15,1888.45,0,0,0,1,1,0,0
0,1,0,0,0,27,1,0,0,0,0,0,0,0,0,0,1,1,19.4,0.6466666666666666,529.8,0,0,1,0,1,0,0
0,1,1,1,0,70,1,1,1,1,1,0,1,0,0,1,0,1,104.8,3.493333333333333,7308.95,0,0,1,0,0,1,0
0,0,0,1,0,57,1,1,1,1,1,0,1,1,0,1,0,1,109.4,3.646666666666667,6252.7,1,0,0,0,0,1,0
0,1,0,1,0,58,1,0,0,1,0,0,0,0,1,0,0,0,50.3,1.6766666666666665,2878.55,0,1,0,0,0,1,0
0,1,0,0,0,16,1,1,1,1,1,0,0,0,1,0,0,1,71.4,2.3800000000000003,1212.1,1,0,0,0,1,0,0
0,0,0,1,0,69,1,1,1,1,1,1,1,1,0,1,0,1,116.0,3.8666666666666667,8182.85,0,0,1,0,0,0,1
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,19.85,0.6616666666666667,19.85,0,0,1,0,1,0,0
1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,99.75,3.325,99.75,0,0,1,0,1,0,0
0,1,1,1,1,32,1,0,1,0,1,0,1,0,0,1,0,1,93.95,3.131666666666667,2861.45,0,0,0,1,1,0,0
0,1,0,1,1,16,1,1,0,1,0,0,1,0,0,1,0,1,90.8,3.0266666666666664,1442.2,1,0,0,0,1,0,0
1,1,0,1,0,49,1,1,1,1,0,1,1,1,1,0,0,0,84.35,2.8116666666666665,4059.35,0,0,1,0,0,1,0
0,0,0,1,0,71,0,0,1,1,1,0,1,1,1,0,0,0,58.25,1.9416666666666667,4145.9,1,0,0,0,0,0,1
0,0,0,0,0,33,1,1,1,1,1,0,1,0,0,1,0,0,107.55,3.585,3645.5,0,0,1,0,1,0,0
0,0,0,1,0,10,1,0,0,0,0,0,0,0,0,0,1,1,19.95,0.6649999999999999,187.75,1,0,0,0,1,0,0
1,1,0,1,0,21,1,1,1,1,1,0,1,1,0,1,0,1,111.2,3.7066666666666666,2317.1,0,0,1,0,1,0,0
1,1,0,1,1,37,0,0,0,1,1,1,0,0,1,0,0,0,40.2,1.34,1448.8,1,0,0,0,1,0,0
0,0,1,0,0,26,1,0,0,0,0,1,1,0,0,1,0,1,85.8,2.86,2193.65,0,1,0,0,1,0,0
0,1,0,0,0,50,0,0,0,0,0,1,0,1,1,0,0,1,35.4,1.18,1748.9,0,0,0,1,0,1,0
